English,Thai
photographer ,ช่างภาพ
photography ,การถ่ายภาพ
phrase ,วลี
physical ,กายภาพ
physically ,ทางร่างกาย
physics ,ฟิสิกส์
piano ,เปียโน
pick ,เลือก
pick sth up,รับฏ
picture ,ภาพ
piece ,ชิ้น
pig ,หมู
pile  ,กอง
pill ,ยา
pilot ,นักบิน
pin  ,หมุด
pink  ,สีชมพู
pint ,ไพน์
pitch ,ขว้าง
pity ,สงสาร
place  ,สถานที่
take place,แทนที่
plain ,ที่ราบ
plan  ,วางแผน
planning ,การวางแผน
plane ,เครื่องบิน
planet ,ดาวเคราะห์
plant  ,ปลูก
plastic  ,พลาสติก
plate ,จาน
platform ,เวที
play  ,เล่น
player ,ผู้เล่น
pleasant ,น่ารื่นรมย์
pleasantly ,เป็นสุข
unpleasant ,ไม่เป็นที่พอใจ
please ,กรุณา
pleasing ,เป็นที่ชื่นชอบ
pleased ,ยินดี
pleasure ,ความสุข
plenty ,ความอุดมสมบูรณ์
plot  ,พล็อต
plug ,ปลั๊ก
plus    ,บวก
pocket ,กระเป๋าเสื้อ
poem ,บทกวี
poetry ,บทกวี
point  ,จุด
pointed ,แหลม
poison  ,ยาพิษ
poisonous ,เป็นพิษ
pole ,เสา
police ,ตำรวจ
policy ,นโยบาย
polish  ,ขัด
polite ,สุภาพ
politely ,สุภาพ
political ,ในทางการเมือง
politically ,ในทางการเมือง
politician ,นักการเมือง
politics ,การเมือง
pollution ,มลพิษ
pool ,สระ
poor ,น่าสงสาร
pop  ,ป๊อปอัพ
popular ,เป็นที่นิยม
population ,ประชากร
port ,ท่าเรือ
pose  ,ก่อให้เกิด
position ,ตำแหน่ง
positive ,บวก
possess ,มี
possession ,สมบัติ
possibility ,ความเป็นไปได้
possible ,เป็นไปได้
possibly ,อาจ
post  ,เสา
post office ,ที่ทำการไปรษณีย์
pot ,หม้อ
potato ,มันฝรั่ง
potential  ,ที่อาจเกิดขึ้น
potentially ,ที่อาจเกิดขึ้น
pound ,ปอนด์
pour ,เท
powder ,ผง
power ,อำนาจ
powerful ,มีอำนาจ
practical ,ประยุกต์
practically ,จวน
practice ,การปฏิบัติ
practise  ,การปฏิบัติ
praise  ,สรรเสริญ
prayer ,การอธิษฐาน
precise ,แม่นยำ
precisely ,แม่นยำ
predict ,ทำนาย
prefer ,ชอบ
preference ,การตั้งค่า
pregnant ,ตั้งครรภ์
premises ,สถานที่
preparation ,การจัดเตรียม
prepare ,เตรียมการ
prepared ,ที่เตรียมไว้
presence ,การมี
present   ,ปัจจุบัน
presentation ,การเสนอ
preserve ,อนุรักษ์
president ,ประธาน
press  ,กด
pressure ,ความดัน
presumably ,สันนิษฐานว่า
pretend ,แกล้งทำ
pretty  ,น่ารัก
prevent ,ป้องกัน
previous ,ก่อน
previously ,ก่อนหน้านี้
price ,ราคา
pride ,ความภาคภูมิใจ
priest ,พระสงฆ์
primary ,ประถม
primarily ,ส่วนใหญ่
prime minister ,นายกรัฐมนตรี
prince ,เจ้าชาย
princess ,เจ้าหญิง
principle ,หลัก
print  ,พิมพ์
printing ,การพิมพ์
printer ,เครื่องพิมพ์
prior ,ก่อน
priority ,จัดลำดับความสำคัญ
prison ,คุก
prisoner ,นักโทษ
private ,เอกชน
privately ,สองต่อสอง
prize ,รางวัล
probable ,น่าจะเป็น
probably ,อาจ
problem ,ปัญหา
procedure ,ขั้นตอน
proceed ,ดำเนินดำเนินการต่อ
process  ,กระบวนการ
produce ,การผลิต
producer ,ผู้ผลิต
product ,สินค้า
production ,การผลิต
profession ,อาชีพ
professional  ,มืออาชีพ
professor ,ศาสตราจารย์
profit ,กำไร
program  ,โปรแกรม
programme  ,โปรแกรม
progress  ,ความคืบหน้า
project  ,โครงการ
promise  ,คำมั่นสัญญา
promote ,ส่งเสริม
promotion ,การส่งเสริม
prompt  ,รวดเร็ว
promptly ,พลัน
pronounce ,ออกเสียง
pronunciation ,การออกเสียง
proof ,พิสูจน์
proper ,เหมาะสม
properly ,อย่างถูกต้อง
property ,คุณสมบัติ
proportion ,สัดส่วน
proposal ,ข้อเสนอ
propose ,เสนอ
prospect ,โอกาส
protect ,ป้องกัน
protection ,การป้องกัน
protest  ,ประท้วง
proud ,ภูมิใจ
proudly ,ภาคภูมิใจ
prove ,พิสูจน์
provide ,ให้
provided ,ให้
pub ,ผับ
public  ,สาธารณะ
in public,ในที่สาธารณะ
publicly ,สาธารณชน
publication ,สิ่งพิมพ์
publicity ,การเผยแพร่
publishing ,การประกาศ
pull  ,ดึง
punch  ,หมัด
punish ,ลงโทษ
punishment ,การลงโทษ
pupil ,นักเรียน
purchase  ,ซื้อ
pure ,บริสุทธิ์
purely ,หมดจด
purple  ,สีม่วง
purpose ,วัตถุประสงค์
on purpose,โดยเจตนา
pursue ,ไล่ตาม
push  ,ดัน
put ,ใส่
put sth on,ใส่ฏบน
put sth out,ใส่ออกฏ
qualification ,คุณสมบัติ
qualify ,มีคุณสมบัติ
qualified ,มีคุณสมบัติ
quality ,คุณภาพ
quantity ,ปริมาณ
quarter ,ย่าน
queen ,พระราชินี
question  ,คำถาม
quick ,รวดเร็ว
quickly ,อย่างรวดเร็ว
quiet ,เงียบ
quietly ,เงียบ ๆ
quit ,เลิก
quite ,ทีเดียว
quote ,อ้างอิง
race  ,แข่ง
racing ,การแข่งรถ
radio ,วิทยุ
rail ,ทางรถไฟ
railway  ,ทางรถไฟ
rain  ,ฝน
raise ,ยก
range ,พิสัย
rank  ,ยศ
rapid ,รวดเร็ว
rapidly ,อย่างรวดเร็ว
rare ,หายาก
rarely ,นาน ๆ ครั้ง
rate  ,ประเมินค่า
rather ,ค่อนข้าง
rather than,ค่อนข้างมากกว่า
raw ,ดิบ
re- ,อีกครั้ง
reach ,การเข้าถึง
react ,เกิดปฏิกิริยา
reaction ,ปฏิกิริยา
read ,อ่าน
reading ,การอ่าน
reader ,ผู้อ่าน
ready ,พร้อมแล้ว
real ,จริง
really ,จริงๆ
realistic ,เหมือนจริง
reality ,ความจริง
realize ,ตระหนัก
really real,จริงๆจริง
rear  ,ด้านหลัง
reason ,เหตุผล
reasonable ,มีเหตุผล
reasonably ,สมเหตุสมผล
unreasonable ,ไม่มีเหตุผล
recall ,จำ
receipt ,ใบเสร็จรับเงิน
receive ,รับ
recent ,เมื่อเร็ว ๆ นี้
recently ,เมื่อเร็ว ๆ นี้
reception ,แผนกต้อนรับ
reckon ,คำนวณ
recognition ,ได้รับการยอมรับ
recognize ,รับรู้
recommend ,แนะนำ
record  ,บันทึก
recording ,การบันทึก
recover ,กู้
reduce ,ลด
reduction ,การลดลง
refer to ,อ้างถึง
reference ,การอ้างอิง
reflect ,สะท้อน
reform  ,ปฏิรูป
refrigerator ,ตู้เย็น
refusal ,การปฏิเสธ
refuse ,ขยะ
regard  ,คำนึงถึง
regarding ,เกี่ยวกับ
region ,ภูมิภาค
regional ,ของแคว้น
register  ,การลงทะเบียน
regret  ,เสียใจ
regular ,ปกติ
regularly ,สม่ำเสมอ
regulation ,ระเบียบข้อบังคับ
reject ,ปฏิเสธ
relate ,สัมพันธ์
related ,ที่เกี่ยวข้อง
relation ,ความสัมพันธ์
relationship ,ความสัมพันธ์
relative  ,ญาติ
relatively ,สัมพัทธ์
relax ,ผ่อนคลาย
relaxed ,ผ่อนคลาย
relaxing ,ผ่อนคลาย
release  ,ปล่อย
relevant ,ที่เกี่ยวข้อง
relief ,ความโล่งอก
religion ,ศาสนา
religious ,เคร่งศาสนา
rely on ,พึ่ง
remain ,ยังคง
remaining ,ที่เหลืออยู่
remains ,ซากศพ
remark  ,ข้อสังเกต
remarkable ,โดดเด่น
remarkably ,อย่างน่าทึ่ง
remember ,จำ
remind ,เตือน
remote ,ห่างไกล
removal ,การถอด
remove ,ลบ
rent  ,เช่า
rented ,ให้เช่า
repair  ,ซ่อมแซม
repeat ,ทำซ้ำ
repeated ,ซ้ำแล้วซ้ำอีก
repeatedly ,ซ้ำแล้วซ้ำเล่า
replace ,แทนที่
reply  ,ตอบ
report  ,รายงาน
represent ,แทน
representative  ,ตัวแทน
reproduce ,การทำซ้ำ
reputation ,ชื่อเสียง
require ,จำเป็นต้อง
requirement ,ความต้องการ
rescue  ,กู้ภัย
research ,การวิจัย
reservation ,การจองห้องพัก
reserve  ,สำรอง
resident  ,ผู้อยู่อาศัย
resist ,ต่อต้าน
resistance ,ความต้านทาน
resolve ,แก้ไข
resort ,รีสอร์ท
resource ,ทรัพยากร
respect  ,เคารพ
respond ,ตอบสนอง
response ,คำตอบ
responsibility ,ความรับผิดชอบ
responsible ,รับผิดชอบ
rest  ,ส่วนที่เหลือ
the rest,ส่วนที่เหลือ
restaurant ,ร้านอาหาร
restore ,ฟื้นฟู
restrict ,จำกัด
restricted ,ถูก จำกัด
restriction ,การ จำกัด
result  ,ผลลัพธ์
retain ,รักษา
retire ,เกษียณอายุ
retired ,ถอยออก
retirement ,การเกษียณอายุ
return  ,กลับ
reveal ,เปิดเผย
reverse  ,ถอยหลัง
review  ,ทบทวน
revise ,แก้ไขใหม่
revision ,การแก้ไข
revolution ,การปฏิวัติ
reward  ,รางวัล
rhythm ,จังหวะ
rice ,ข้าว
rich ,รวย
rid ,กำจัด
ride  ,นั่ง
riding ,การขี่
rider ,ผู้ขี่
ridiculous ,ไร้สาระ
right   ,ขวา
rightly ,อย่างถูกต้อง
ring  ,แหวน
rise  ,ลุกขึ้น
risk  ,อันตราย
rival  ,คู่แข่ง
river ,แม่น้ำ
road ,ถนน
rob ,ปล้น
rock ,หิน
role ,บทบาท
roll  ,ม้วน
romantic ,โรแมนติก
roof ,หลังคา
room ,ห้อง
root ,ราก
rope ,เชือก
rough ,ขรุขระ
roughly ,ลวก
round    ,รอบ
rounded ,โค้งมน
route ,เส้นทาง
routine  ,กิจวัตรประจำวัน
row ,แถว
royal ,หลวง
rub ,ถู
rubber ,ยาง
rubbish  ,ขยะมูลฝอย
rude ,หยาบ
rudely ,หยาบคาย
ruin  ,ทำลาย
ruined ,โทรม
rule  ,กฎ
ruler ,ไม้บรรทัด
rumour ,เล่าลือ
run  ,วิ่ง
running ,วิ่ง
runner ,ทางวิ่ง
rural ,ชนบท
rush  ,วิ่ง
sack  ,กระสอบ
sad ,เสียใจ
sadly ,เศร้า
sadness ,ความโศกเศร้า
safe ,ปลอดภัย
safely ,อย่างปลอดภัย
safety ,ความปลอดภัย
sail  ,แล่นเรือ
sailing ,การเดินเรือ
sailor ,กะลาสี
salad ,สลัด
salary ,เงินเดือน
sale ,การขาย
salt ,เกลือ
salty ,เค็ม
same ,เหมือนกัน
sand ,ทราย
satisfaction ,ความพอใจ
satisfy ,พอใจ
satisfied ,ความพึงพอใจ
satisfying ,ความพึงพอใจ
Saturday  ,วันเสาร์
sauce ,ซอส
save ,บันทึก
saving ,ประหยัด
say ,พูด
scale ,ขนาด
scare  ,ทำให้ตกใจ
scared ,กลัว
scene ,ฉาก
schedule  ,ตารางเวลา
scheme ,โครงการ
school ,โรงเรียน
science ,วิทยาศาสตร์
scientific ,วิทยาศาสตร์
scientist ,นักวิทยาศาสตร์
scissors ,กรรไกร
score  ,คะแนน
scratch  ,เกา
scream  ,กรี๊ด
screen ,จอภาพ
screw  ,สกรู
sea ,ทะเล
seal  ,ตราประทับ
search  ,ค้นหา
seat ,ที่นั่ง
second ,ที่สอง
secondary ,รอง
secret  ,ความลับ
secretly ,ลอบ
secretary ,เลขานุการ
section ,มาตรา
sector ,ภาค
secure  ,ปลอดภัย
security ,ความปลอดภัย
see ,ดู
seed ,เมล็ดพันธุ์
seek ,แสวงหา
seem linking ,ดูเหมือนการเชื่อมโยง
select ,เลือก
selection ,การเลือก
self ,ตนเอง
self- combining form,ตนเองรูปแบบการรวม
sell ,ขาย
senate ,วุฒิสภา
senator ,วุฒิสมาชิก
senior  ,ระดับอาวุโส
sense ,ความรู้สึก
sensible ,สมเหตุสมผล
sensitive ,รู้สึกไว
sentence ,ประโยค
separate  ,แยก
separated ,แยกออกจากกัน
separately ,แยกต่างหาก
separation ,การแยก
September  ,กันยายน
series ,ชุด
serious ,จริงจัง
seriously ,อย่างจริงจัง
servant ,คนรับใช้
serve ,บริการ
service ,บริการ
session ,เซสชั่น
set  ,ชุด
settle ,ชำระ
several ,หลาย
severe ,รุนแรง
severely ,อย่างรุนแรง
sew ,เย็บ
sewing ,เย็บปักถักร้อย
sexual ,ทางเพศ
sexually ,ทางเพศสัมพันธ์
shade ,ร่มเงา
shadow ,เงา
shake  ,สั่น
shall modal ,จะเป็นกิริยาช่วย
shallow ,ตื้น
shame ,ความอัปยศ
shape  ,รูปร่าง
shaped ,รูป
share  ,หุ้น
sharp ,คม
sharply ,เผ็ดร้อน
shave ,โกน
she ,เธอ
sheep ,แกะ
sheet ,แผ่น
shelf ,หิ้ง
shell ,เปลือก
shelter  ,ที่พักอาศัย
shift  ,เปลี่ยน
shine ,เปล่งปลั่ง
shiny ,มันเงา
ship ,เรือ
shirt ,เสื้อเชิ้ต
shock  ,ช็อก
shocking ,ที่ตกตะลึง
shocked ,ตกใจ
shoe ,รองเท้า
shoot ,ยิง
shooting ,การยิง
shop  ,ร้านขายของ
shopping ,ช้อปปิ้ง
short ,สั้น
shortly ,ในไม่ช้า
shot ,การถ่ายภาพ
should modal ,ควรเป็นกิริยาช่วย
shoulder ,ไหล่
shout  ,เสียงร้อง
show  ,แสดง
shower ,ฝักบัว
shut  ,ปิด
shy ,อาย
sick ,ป่วย
feel sick ,รู้สึกไม่สบาย
side ,ด้าน
sideways  ,ไปด้านข้าง
sight ,สายตา
sign  ,สัญญาณ
signal  ,สัญญาณ
signature ,ลายเซ็น
significant ,สำคัญ
significantly ,อย่างมีความหมาย
silence ,ความเงียบ
silent ,เงียบ
silk ,ไหม
silly ,โง่
similar ,คล้ายคลึงกัน
similarly ,เหมือนกับ
simple ,ง่าย
simply ,ง่ายดาย
since   ,ตั้งแต่
sincere ,จริงใจ
sincerely ,อย่างจริงใจ
Yours sincerely ,ขอแสดงความนับถือ
sing ,ร้องเพลง
singing ,การร้องเพลง
singer ,นักร้อง
single ,เดียว
sink ,จม
sir ,ท่าน
sister ,น้องสาว
sit ,นั่ง
sit down,นั่งลง
site ,เว็บไซต์
situation ,สถานการณ์
size ,ขนาด
-sized,-sized
skilful  ,ชำนาญ
skilfully  ,ชำนาญ
skill ,ความสามารถ
skilled ,มีฝีมือ
skin ,ผิว
skirt ,กระโปรง
sky ,ท้องฟ้า
sleep  ,นอน
sleeve ,แขนเสื้อ
slice  ,ชิ้น
slide ,สไลด์
slight ,เล็กน้อย
slightly ,เล็กน้อย
slip ,ลื่น
slope  ,ลาด
slow ,ช้า
slowly ,ช้า
small ,เล็ก
smart ,ฉลาด
smash  ,ชน
smell  ,กลิ่น
smile  ,รอยยิ้ม
smoke  ,ควัน
smoking ,ที่สูบบุหรี่
smooth ,เรียบ
smoothly ,อย่างราบรื่น
snake ,งู
snow  ,หิมะ
so  ,ดังนั้น
so that,ดังนั้น
soap ,สบู่
social ,สังคม
socially ,สังคม
society ,สังคม
sock ,ถุงเท้า
soft ,อ่อนนุ่ม
softly ,แผ่วเบา
software ,ซอฟต์แวร์
soil ,ดิน
soldier ,ทหาร
solid  ,ของแข็ง
solution ,สารละลาย
solve ,แก้
some ,บาง
somebody ,บางคน
somehow ,อย่างใด
something ,บางสิ่งบางอย่าง
sometimes ,บางครั้ง
somewhat ,ค่อนข้าง
somewhere ,บางแห่ง
son ,ลูกชาย
song ,เพลง
soon ,ในไม่ช้า
as soon as,เร็ว ๆ นี้
sore ,เจ็บ
sorry ,ขอโทษ
sort  ,ประเภท
soul ,จิตวิญญาณ
sound  ,เสียง
soup ,ซุป
sour ,เปรี้ยว
source ,แหล่ง
south   ,ทางทิศใต้
southern ,ทางใต้
space ,ช่องว่าง
spare  ,สำรอง
speak ,พูด
spoken ,พูด
speaker ,ผู้พูด
special ,พิเศษ
specially ,พิเศษ
specialist ,ผู้เชี่ยวชาญ
specific ,โดยเฉพาะ
speech ,การพูด
speed ,ความเร็ว
spell  ,สะกด
spend ,ใช้จ่าย
spice ,เครื่องเทศ
spicy ,รสจัด
spider ,แมงมุม
spin ,ปั่น
spirit ,วิญญาณ
spiritual ,มโนมัย
spite : in spite of,ทั้งๆที่: ทั้งๆที่
split  ,แยก
spoil ,ที่ริบ
spoken speak,พูดพูด
spoon ,ช้อน
sport ,กีฬา
spot ,จุด
spray  ,สเปรย์
spread ,การแพร่กระจาย
spring ,ฤดูใบไม้ผลิ
square  ,สี่เหลี่ยม
squeeze  ,บีบ
stable  ,มีเสถียรภาพ
staff ,บุคลากร
stage ,เวที
stair ,บันได
stamp  ,ประทับ
stand  ,ยืน
stand up,ยืนขึ้น
standard  ,มาตรฐาน
star  ,ดาว
stare  ,จ้อง
start  ,เริ่มต้น
state   ,สถานะ
statement ,คำให้การ
station ,สถานี
statue ,รูปปั้น
status ,สถานะ
stay  ,เข้าพัก
steady ,มั่นคง
steadily ,อย่างมั่นคง
unsteady ,ไม่คงที่
steal ,ขโมย
steam ,ไอน้ำ
steel ,เหล็ก
steep ,สูงชัน
steeply ,อย่างสูงลิ่ว
steer ,คัดท้าย
step  ,ขั้นตอน
stick  ,ติด
stick out,พลุ้ย
sticky ,เหนียว
stiff ,แข็ง
stiffly ,เคร่งครัด
still  ,ยังคง
sting  ,ต่อย
stir ,กวน
stock ,คลังสินค้า
stomach ,กระเพาะอาหาร
stone ,หิน
stop  ,หยุด
store  ,เก็บ
storm ,พายุ
story ,เรื่องราว
stove ,เตา
straight  ,ตรง
strain ,ความเครียด
strange ,แปลก
strangely ,ตระการ
stranger ,คนแปลกหน้า
strategy ,กลยุทธ์
stream ,กระแส
street ,ถนน
strength ,ความแข็งแรง
stress  ,ความตึงเครียด
stressed ,เครียด
stretch ,ยืด
strict ,เข้มงวด
strictly ,อย่างเคร่งครัด
strike  ,โจมตี
striking ,โดดเด่น
string ,เชือก
strip  ,เพิก
stripe ,ริ้ว
striped ,ลาย
stroke  ,ลากเส้น
strong ,แข็งแรง
strongly ,เสถียร
structure ,โครงสร้าง
struggle  ,การต่อสู้
student ,นักเรียน
studio ,สตูดิโอ
study  ,ศึกษา
stuff ,สิ่ง
stupid ,โง่
style ,สไตล์
subject ,เรื่อง
substance ,สสาร
substantial ,รูปธรรม
substantially ,อย่างเป็นจริงเป็นจัง
substitute  ,แทน
succeed ,ประสบความสำเร็จ
successful ,ที่ประสบความสำเร็จ
successfully ,ประสบความสำเร็จ
unsuccessful ,ไม่สำเร็จ
such ,อย่างเช่น
such as,เช่น
suck ,ดูด
sudden ,ฉับพลัน
suddenly ,ทันใดนั้น
suffer ,ประสบ
suffering ,ความทุกข์ทรมาน
sufficient ,เพียงพอ
sufficiently ,พอ
sugar ,น้ำตาล
suggest ,แนะนำ
suggestion ,ข้อเสนอแนะ
suit  ,สูท
suited ,เหมาะ
suitable ,เหมาะสม
suitcase ,กระเป๋าเดินทาง
sum ,รวม
summary ,สรุป
summer ,ฤดูร้อน
sun ,ดวงอาทิตย์
Sunday  ,วันอาทิตย์
superior ,เหนือกว่า
supermarket ,ซุปเปอร์มาร์เก็ต
supply  ,จัดหา
supporter ,ผู้สนับสนุน
suppose ,สมมติ
sure  ,แน่ใจ
make sure,ตรวจสอบให้แน่ใจ
surely ,อย่างแน่นอน
surface ,พื้นผิว
surname  ,นามสกุล
surprise  ,แปลกใจ
surprising ,น่าแปลกใจ
surprisingly ,อย่างแปลกใจ
surprised ,ประหลาดใจ
surround ,รอบทิศทาง
surrounding ,ที่ล้อมรอบ
surroundings ,สิ่งแวดล้อม
survey  ,สำรวจ
survive ,อยู่รอด
suspect  ,สงสัย
suspicion ,ความสงสัย
suspicious ,พิรุธ
swallow ,กลืน
swear ,สาบาน
swearing ,การสาบาน
sweat  ,เหงื่อ
sweater ,เสื้อกันหนาว
sweep ,กวาด
sweet  ,หวาน
swell ,บวม
swelling ,บวม
swollen ,ปูด
swim ,การว่ายน้ำ
swimming ,ว่ายน้ำ
swimming pool ,สระว่ายน้ำ
swing  ,แกว่ง
switch  ,สวิตซ์
switch sth off,สวิทช์ปิดฏ
switch sth on,สลับฏบน
swollen swell,บวมบวม
symbol ,สัญลักษณ์
sympathetic ,สงสาร
sympathy ,ความเห็นอกเห็นใจ
system ,ระบบ
table ,โต๊ะ
tablet ,ยาเม็ด
tackle  ,ต่อสู้
tail ,หาง
take ,เอา
take sth off,ถอดฏ
take (sth) over,ใช้เวลา (ฏ) มากกว่า
talk  ,พูดคุย
tall ,สูง
tank ,ถัง
tap  .,แตะเบา ๆ
tape ,เทป
target ,เป้า
task ,งาน
taste  ,ลิ้มรส
tax  ,ภาษี
tea ,ชา
teach ,สั่งสอน
teaching ,การสอน
teacher ,ครู
team ,ทีม
tear ,การฉีกขาด
tear ,การฉีกขาด
technical ,วิชาการ
technique ,เทคนิค
technology ,เทคโนโลยี
telephone ,โทรศัพท์
television ,โทรทัศน์
tell ,บอก
temperature ,อุณหภูมิ
temporary ,ชั่วคราว
temporarily ,ชั่วคราว
tend ,มีแนวโน้ม
tendency ,ความโน้มเอียง
tension ,ความตึงเครียด
tent ,เต็นท์
term ,วาระ
terrible ,น่ากลัว
terribly ,ชะมัด
test  ,ทดสอบ
text ,ข้อความ
than  ,กว่า
thank ,ขอบคุณ
thanks,ขอบคุณ
thank you ,ขอขอบคุณ
that ,ที่
theatre ,โรงละคร
their ,ของพวกเขา
theirs ,ของพวกเขา
them ,พวกเขา
theme ,กระทู้
themselves ,ตัวเอง
then ,แล้วก็
theory ,ทฤษฎี
there ,ที่นั่น
therefore ,ดังนั้น
they ,พวกเขา
thick ,หนา
thickly ,อย่างหนาแน่น
thickness ,ความหนา
thief ,ขโมย
thin ,ผอม
thing ,สิ่ง
think ,คิด
thinking ,ความคิด
thirsty ,กระหายน้ำ
this ,นี้
thorough ,ทั่วถึง
thoroughly ,อย่างถี่ถ้วน
though  ,แม้
thought ,ความคิด
thread ,เกลียว
threat ,การคุกคาม
threaten ,ขู่
threatening ,ขู่
throat ,ลำคอ
through  ,ตลอด
throughout  ,ตลอด
throw ,โยน
throw sth away,ทิ้งฏ
thumb ,นิ้วหัวแม่มือ
Thursday ,วันพฤหัสบดี
thus ,ดังนั้น
ticket ,ตั๋ว
tidy  ,เรียบร้อย
untidy ,รก
tie  ,ผูก
tie sth up,ผูกขึ้นฏ
tight  ,แน่น
tightly ,อย่างแน่นหนา
till until,จนจน
time ,เวลา
timetable ,ตารางเวลา
tin ,ดีบุก
tiny ,ขนาดเล็ก
tip  ,ปลาย
tire ,ยาง
tiring ,น่าเบื่อหน่าย
tired ,เหนื่อย
title ,หัวข้อ
today  ,ในวันนี้
toe ,นิ้วเท้า
together ,ด้วยกัน
toilet ,ห้องน้ำ
tomato ,มะเขือเทศ
tomorrow  ,วันพรุ่งนี้
ton ,ตัน
tone ,โทน
tongue ,ลิ้น
tonight  ,คืนนี้
tonne ,ตัน
too ,เกินไป
tool ,เครื่องมือ
tooth ,ฟัน
top  ,ด้านบน
topic ,หัวข้อเรื่อง
total  ,รวม
totally ,โดยสิ้นเชิง
touch  ,สัมผัส
tough ,ยาก
tour  ,การท่องเที่ยว
tourist ,นักท่องเที่ยว
towards,ไปทาง
towel ,ผ้าขนหนู
tower ,หอคอย
town ,ตัวเมือง
toy  ,ของเล่น
trace  ,ติดตาม
track ,ติดตาม
trade  ,ค้า
trading ,การค้าขาย
tradition ,ประเพณี
traditional ,แบบดั้งเดิม
traditionally ,ตามธรรมเนียม
traffic ,การจราจร
train  ,รถไฟ
training ,การอบรม
transfer  ,โอน
transform ,แปลง
translate ,แปลภาษา
translation ,การแปล
transparent ,โปร่งใส
transport ,ขนส่ง
trap  ,กับดัก
travel  ,การท่องเที่ยว
traveller  ,นักท่องเที่ยว
treat ,รักษา
treatment ,การรักษา
tree ,ต้นไม้
trend ,แนวโน้ม
trial ,การทดลอง
triangle ,สามเหลี่ยม
trick  ,เคล็ดลับ
trip  ,การเดินทาง
tropical ,เขตร้อน
trouble ,ปัญหา
trousers  ,กางเกง
truck  ,รถบรรทุก
true ,จริง
truly ,อย่างแท้จริง
Yours Truly ,ขอแสดงความนับถือ
trust  ,วางใจ
truth ,ความจริง
try ,ลอง
tube ,หลอด
Tuesday ,วันอังคาร
tune  ,ทำนองเพลง
tunnel ,อุโมงค์
turn  ,กลับ
TV television,โทรทัศน์ทีวี
twice ,สองครั้ง
twin  ,คู่
twist  ,บิด
twisted ,เป๋
type  ,ชนิด
typical ,ตามแบบฉบับ
typically ,เป็นปกติ
tyre   ,ยาง
ugly ,น่าเกลียด
ultimate ,ที่สุด
ultimately ,ในที่สุด
umbrella ,ร่ม
unable ,ไม่สามารถ
unacceptable ,รับไม่ได้
uncertain ,ไม่แน่ใจ
uncle ,ลุง
uncomfortable ,อึดอัด
unconscious ,ไม่ได้สติ
uncontrolled ,ไม่มีการควบคุม
under  ,ภายใต้
underground  ,ใต้ดิน
underneath  ,ภายใต้
understand ,เข้าใจ
understanding ,ความเข้าใจ
underwater  ,ใต้น้ำ
underwear ,ชุดชั้นใน
undo do,เลิกทำ
unemployed ,ว่างงาน
unemployment ,การว่างงาน
unexpected ,ไม่คาดฝัน
unfair ,ไม่ยุติธรรม
unfortunate ,โชคร้าย
unfortunately ,น่าเสียดาย
unfriendly ,ไม่เป็นมิตร
unhappiness ,ความทุกข์
unhappy ,ไม่มีความสุข
uniform  ,เหมือนกัน
unimportant ,ไม่สำคัญ
union ,สหภาพ
unique ,เป็นเอกลักษณ์
unit ,หน่วย
unite ,Unite
united ,ปึกแผ่น
universe ,จักรวาล
university ,มหาวิทยาลัย
unkind ,เหี้ยมโหด
unknown ,ไม่ทราบ
unless ,เว้นแต่
unlike ,แตกต่าง
unlikely ,ไม่แน่
unload ,ขน
unlucky ,โชคร้าย
unnecessary,ไม่จำเป็น
unpleasant ,ไม่เป็นที่พอใจ
unreasonable ,ไม่มีเหตุผล
unsteady ,ไม่คงที่
unsuccessful ,ไม่สำเร็จ
untidy ,รก
until ,จนกระทั่ง
unusual ,ผิดปกติ
unwilling ,ไม่เต็มใจ
up  ,ขึ้น
upon ,เมื่อ
upper ,บน
upset  ,อารมณ์เสีย
upsetting ,upsetting
upside down ,ลงคว่ำ
upstairs   ,ชั้นบน
upwards ,สูงกว่า
upward ,ขึ้นไปข้างบน
urban ,ในเมือง
urge  ,กระตุ้น
urgent ,ด่วน
us ,เรา
use  ,ใช้
used ,ใช้
used to sth,ใช้ในการฏ
used to modal ,ใช้ในการคำกริยา
useful ,มีประโยชน์
useless ,ไร้ประโยชน์
user ,ผู้ใช้งาน
usual ,ตามปกติ
usually ,มักจะ
unusual ,ผิดปกติ
unusually ,ผิดปกติ
vacation ,วันหยุด
valid ,ถูกต้อง
valley ,หุบเขา
valuable ,มีคุณค่า
value  ,ความคุ้มค่า
van ,รถตู้
variation ,การเปลี่ยนแปลง
variety ,ความหลากหลาย
various ,ต่างๆ
vary ,แตกต่าง
varied ,แตกต่างกัน
vast ,กว้างใหญ่
vegetable ,ผัก
vehicle ,พาหนะ
venture  ,เสี่ยง
version ,รุ่น
vertical ,แนวตั้ง
very ,มาก
via ,ผ่านทาง
victim ,เหยื่อ
victory ,ชัยชนะ
video ,วีดีโอ
view  ,ดู
village ,หมู่บ้าน
violence ,ความรุนแรง
violent ,รุนแรง
violently ,อย่างรุนแรง
virtually ,จวน
virus ,ไวรัส
visible ,มองเห็นได้
vision ,วิสัยทัศน์
visit  ,เยือน
visitor ,ผู้มาเยือน
vital ,จำเป็น
vocabulary ,คำศัพท์
voice ,เสียงพูด
volume ,ปริมาณ
vote  ,โหวต
wage ,ค่าจ้าง
waist ,เอว
wait ,รอ
waiter waitress ,บริกรบริกร
